"word","translation","mistakes"
"Schönsein","belleza",1
"Schüssel","fuente",3
"See","mar",1
"Seele","alma",3
"Seemann","marinero",1
"Segel","vela de barco",1
"Segelschiff","velero",1
"Sehnsucht","ansia, nostalgia, ahhelo",1
"Seife","jabón",1
"Seil","alambre, cuerda",1
"Seite","página, lado, parte",1
"Sekunde","segundo",1
"Seminar","seminario",2
"Sendung","envío, emisión, programa de tv o radio",1
"Sensor","sensor",1
"September","september",1
"Service","servicio, asistencia",3
"Sessel","sillon",1
"Sicherheit","seguridad, garantía, certeza",1
"Sicherung","protección, fusible, consolidación",1
"Sinn","sentido",1
"Situation","situación",1
"Sofa","sofa",1
"Sohn","hijo",1
"Sommer","verano",1
"Sonne","sol",1
"Sonntag","domingo",1
"Spatz","gorrión",1
"Sperre","barrera, bloqueo, suspensión",1
"Sphäre","esfera",1
"Spiegel","espejo",1
"Spiel","juego",1
"Spinne","araña",1
"Sport","deporte",1
"Sprache","idioma",1
"Spritze","jeringa, inyección",1
"Spülmittel","detergente vajilla",1
"Staat","estado, gobierno",1
"Stadt","ciudad",1
"Stadtrand","afueras de la ciudad",1
"Start","comienzo",1
"Statue","estatua",1
"Stau","atasco, embotellamiento",1
"Steak","bife",1
"Steckdose","tomacorriente",1
"Stecker","enchufe, conector",1
"Stein","piedra",1
"Stelle","lugar",1
"Stern","estrella",1
"Steuer","impuesto",1
"Steuerfrau","timonel",3
"Steuermann","timonel",1
"Steuersatz","taze de impuesto",1
"Stiefel","bota",2
"Stier","toro",1
"Stimme","voz",1
"Stoff","material",1
"Straftat","delito",1
"Strand","playa",1
"Straße","calle",1
"Strom","corriente",1
"Student","estudiante",1
"Studentin","estudiante",1
"Stuhl","silla",1
"Stunde","hora",1
"Sturm","tormenta, teporal",1
"Stück","pieza, trozo, pedazo",5
"Substantiv","sustantivo",1
"Suche","búsqueda",2
"Supermarkt","supermercado",1
"Sympathie","simpatía",1
"Synonym","sinónimo",1
"Süd","sur",1
"Süden","sur",1
"T-Shirt","camiseta",1
"Tag","día",1
"Taille","cintura",1
"Tante","tía",1
"Tasche","bolsillo",1
"Taschentuch","pañuelo de bolsillo",1
"Tasse","taza",1
"Taste","tecla",1
"Tastsinn","sentido del tacto",1
"Tat","hecho, acción, acto",1
"Taube","paloma",1
"Team","equipo",1
"Tee","té, infusión",1
"Teil","pieza, parte",1
"Teilnahme","participación",1
"Teilnehmer","participante",1
"Teilnehmerin","participante",1
"Telefon","teléfono",1
"Teller","plato",1
"Temperatur","temperatura",1
"Tempo","velocidad, tiempo, ritmo",1
"Teppich","alfombra",1
"Termin","fecha",1
"Test","prueba",1
"Teufel","diablo",1
"Theater","teatro",1
"Thema","tema, asunto",1
"Theorie","teoría",1
"Thermometer","termómetro",1
"These","tesis",1
"Tiefe","profundidad, intensidad",1
"Tipp","consejo, recomendación",1
"Tisch","mesa",1
"Titel","título",1
"Tochter","hija",1
"Tod","muerte, fallecimiento, defunción",1
"Toilette","baño",1
"Tomate","tomate",1
"Topf","olla",5
"Topfblume","planta de maceta",1
"Tote","muerto/a",2
"Training","entrenamiento",1
"Transformator","transformador",1
"Traube","uva",1
"Traum","sueño de soñar",1
"Treffen","encuentro",1
"Treppe","escalera",1
"Triebwerk","motor, máquina",1
"Tritt","paso, puntapié, patada",1
"Träne","lágrima",1
"Tuch","pañuelo, trapo, capote",1
"Turm","torre",1
"Tätigkeit","actividad, trabajo",1
"Tüftler","persona habilidosa",1
"Tür","puerta",1
"Tüte","bolsa",1
"U-Bahn","metro",1
"Uhr","reloj",1
"Uhrzeigersinn","sentido horario",1
"Umfrage","encuesta",1
"Umstand","hecho, circunstancia",1
"Umwelt","entorno, medio ambiente",1
"Umzug","mudanza, desfile",1
"Unfall","accidente",1
"Unglück","desgracia, accidente, catástrofe, miseria, mala suerte",1
"Universität","universidad",1
"Unrecht","injusticia",1
"Unsicherheit","inseguridad",1
"Unterlage","documentos",2
"Unterlegscheibe","arandela",1
"Unterricht","clase, lección",1
"Unterschied","diferencia",1
"Unterschrift","firma (escrita)",3
"Unwetter","temporal, tormenta",1
"Unwissenheit","ignorancia",1
"Urlaub","vacaciones",1
"Vampir","vampiro",2
"Variante","variante",1
"Vase","jarrón, florero",1
"Vater","padre",1
"Vatikan","vaticano",1
"Vene","vena",1
"Ventilator","ventilador",1
"Verb","verbo",1
"Verbrennung","combustión, quema, quemadura",1
"Vergangenheit","pasado, pretérito",1
"Vergleich","comparación",1
"Verhalten","comportamiento, conducta",5
"Verkauf","venta",1
"Verletzte","herido/a",1
"Verlust","pérdida, daño",1
"Vermögen","bienes, fortuna, patrimonio, capital, capacidad",6
"Versicherung","seguro",1
"Versprechen","promesa",1
"Verstärkung","refuerzo",1
"Vertrag","contrato",1
"Verwaltung","administración",1
"Verwandte","pariente",1
"Virus","virus",1
"Visum","visa",1
"Vogel","pájaro",1
"Vokabular","vocabulario",12
"Vokal","vocal",4
"Volk","pueblo",1
"Vordergrund","primer plano, prioridad",1
"Vorfeld","preludio",7
"Vorgesetzte","superior jerárquico",2
"Vorschlag","propuesta",2
"Vorschulkind","niño preescolar",1
"Vorsorgeuntersuchung","chequeo preventivo",1
"Vorstellungsgespräch","entrevista de trabajo",1
"Vorteil","ventaja",1
"Vulkan","volcán",1
"Waffe","arma",1
"Wagen","coche",1
"Wahl","elección, opción",1
"Wahlkreis","distrito electoral",1
"Wahrheit","verdad",1
"Wahrscheinlichkeit","probabilidad",1
"Wal","ballena",1
"Wald","bosque",1
"Wand","pared",1
"Wandel","cambio, transformación",1
"Warnung","aviso, advertencia, alerta",1
"Waschbecken","lavamanos",1
"Waschmittel","detergente ropa",1
"Wasser","agua",1
"Wasserfall","cascada, catarata",1
"Wasserklosett","inodoro",1
"Weg","camino",2
"Wehr","dique, presa",2
"Wehr","defensa",1
"Wehrmacht","ejercito aleman 1921 -1945",1
"Weihnachten","navidad",1
"Weihnachtsbaum","árbol de navidad",1
"Weihnachtslied","canción de Navidad",1
"Weihnachtsmann","papá noel",1
"Wein","vino",1
"Weizen","trigo",1
"Weizenbier","cerveza de trigo",1
"Welle","ola, onda",1
"Welt","mundo",1
"Werk","mecanismo, obra, fábrica, taller",1
"Werkstatt","taller",1
"Werkzeug","herramienta",1
"Wert","valor, precio",1
"West","oeste",1
"Weste","chaleco",2
"Westen","oeste",1
"Wetter","tiempo (clima)",1
"Wettkampf","competición",1
"Wind","viento",1
"Winter","invierno",1
"Wirtschaft","economia",1
"Wissen","saber, conocimientos",9
"Wissenschaft","ciencia",1
"Wissenschaftler","científico",1
"Wissenschaftlerin","científica",1
"Woche","semana",1
"Wochenende","fin de semana",1
"Wodka","vodka",1
"Wohnort","domicilio",1
"Wohnsitz","domicilio",1
"Wohnung","vivienda",1
"Wohnzimmer","cuarto de estar",1
"Wolf","lobo",1
"Wolke","nube",1
"Wort","palabra",1
"Wortschatz","léxico, vocabulario",11
"Wunde","herida",1
"Wunder","maravilla, milagro",6
"Wunsch","deseo",1
"Wurm","gusano",1
"Wurst","embutido, salchicha",1
"Wut","rabia, ira, furor",8
"Währung","moneda de un país, divisa",1
"Wärme","calor",1
"Wörterbuch","diccionario",1
"Würfel","cubo, dado",1
"Wüste","desierto",1
"Zahl","número, cantidad, cifra",1
"Zahn","diente",1
"Zahnrad","engranaje",1
"Zange","pinza",1
"Zecke","garrapata",1
"Zeit","tiempo",1
"Zeitschrift","revista",1
"Zeitverschiebung","diferencia horaria",1
"Zerstörer","destructor",1
"Zerstörerin","destructora",1
"Zertifikat","certificado",1
"Zeug","cosa",1
"Ziel","destino de un viaje, meta, fin, objetivo",1
"Zimmer","habitación",1
"Zirkel","compás",1
"Zitat","cita",1
"Zoll","aduana",1
"Zoff","pelea",9
"Zoo","zoológico",1
"Zucker","azucar",1
"Zug","tren",1
"Zugvogel","ave migratoria",1
"Zukunft","futuro, porvenir",1
"Zusammenfassung","resumen",1
"Zusammenstoß","colisión, choque, altercado, disputa",2
"Zustand","estado, situación",1
"Zwerg","enano",1
"Zwiebel","cebolla",1
"Ärztin","médica",1
"Ökonomie","economia",1
"Öl","aceite",1
"Überbau","superstructura, voladizo",1
"Übergang","paso, traspaso, transición",1
"Überraschung","sorpresa",2
"Überschrift","título, encabezado",1
"Übersetzung","traducción",1
"Übung","práctica, ejercicio",1
"abbringen von","apartar de, desviar de",1
"abdichten gegen","aislar contra",1
"abdichten","insonorizar, impermeabilizar",1
"abhängen von","depender de",1
"abhängen","manir, bajar, descolgar, desacoplar",1
"abhärten gegen","robustecer contra",1
"sich abhärten","endurecerse, fortalecerse",1
"ablassen von","desistir de, abandonar",1
"ablassen","dejar salir, purgar, vaciar, no poner",1
"sich ableiten aus/von","derivarse de",1
"ableiten","desviar, transvasar, eliminar, ",1
"abnehmen","declinar, adelgazar, quitar, ampuntar",1
"abschirmen gegen","proteger de/contra",1
"abschirmen","matizar, proteger",1
"abschreiben von","copiar de",2
"absetzen auf","depositar en",1
"abstellen für","enviar a",1
"abtrocknen","secar",1
"abweichen von","desviarse de",1
"achten auf","cuidar de",1
"achtgeben auf","atender a",1
"adaptieren für","adaptar a",1
"agitieren für","hacer propaganda por",1
"agitieren gegen","hacer propaganda contra",1
"anbieten","ofrecer",1
"annehmen","aceptar, tomar",1
"anrufen","llamar",1
"anschauen","mirar",1
"anstoßen auf","brindar por",1
"anstrengen","cansar",2
"antworten auf","responder a, contestar a",1
"anzünden","encender fuego",1
"arbeiten","trabajar",1
"aufgeben","rendirse, dejar",1
"aufheben","recoger",2
"aufmachen","abrir",1
"aufnehmen","asimilar",1
"aufräumen","ordenar",1
"aufstehen","levantarse, ponerse de pie",1
"aufwachen","dejar de dormir",1
"aufwecken","despertar",1
"aufwärmen","recalentar",1
"ausfallen","llamar la atención",1
"ausgeben","distribuir, emitir, dar, gastar",1
"auspacken","desempaquetar",1
"ausrüsten mit","equipar con",1
"ausschalten","apagar",1
"ausschlafen","dormir a gusto",1
"aussprechen","expresar",1
"aussuchen","elegir",2
"ausweichen","evitar",1
"ausweisen auf","expulsar de",1
"auswählen aus","escoger de",1
"ausziehen","quitarse",1
"backen","cocinar, hornear",1
"baden","bañarse",1
"bauen","construir",1
"beachten","cumplir con",1
"beantragen","solicitar",1
"beantworten","contestar",1
"bedienen","atender",1
"befinden","encontrarse",1
"begegnen","encontrarse",1
"beginnen bei","empezar por",1
"beginnen mit","empezar con",1
"beginnen","empezar, comenzar",9
"begründen","fundamentar",1
"begrüssen","saludar",1
"behalten","conservar",1
"beißen","morder",10
"bekleiden","vestir",1
"bekommen","obtener",1
"bemerken","darse cuenta",1
"benachrichtigen","informar",1
"benutzen","usar",1
"beraten","aconsejar",1
"bergen","rescatar",11
"beruhigen","tranquilizar",1
"berücksichtigen","tener en cuenta",1
"beschreiben","describir",1
"besichtigen","visitar, examinar",1
"besitzen","poseer",4
"bestehen aus","consistir en, componerse de",1
"betrügen","engañar",9
"bewegen","inducir",12
"beweisen","probar, demostrar",13
"bewerben","solicitar algo",16
"biegen","girar",12
"bieten","ofrecer",8
"binden","atar",10
"bitten um","pedir",1
"bitten","pedir, rogar",10
"bleiben bei","mantenerse en, reafirmarse en",1
"bleiben","permanecer",10
"braten","freír",9
"brechen","romper",13
"brennen","arder",10
"bringen","traer",11
"bürgen für","avalar a",1
"denken","pensar",11
"dringen","insistir",12
"dürfen","poder (poder de tener permiso)",11
"eichen","contrastar, calibrar, marcar, graduar",10
"einbauen in","insertar en",1
"einbinden in","incluir en",1
"eindecken mit","abastecerse de",1
"einschlafen","qudarse dormir",1
"einstehen für","responder por",1
"empfehlen","aconsejar",10
"entbinden von","eximir de",1
"entscheiden für","decidirse por",1
"entscheiden","decidir, resolver",1
"entschlafen","fallecer",1
"entschuldigen bei","disculparse ante",1
"entschuldigen für","disculparse por",1
"entspringen","resultar de",4
"erlöschen","apagarse",11
"ermitteln","determinar, calcular",1
"erschrecken","asustar",10
"erwachsen","crecer",1
"essen","comer",7
"fahren","conducir, viajar en coche",10
"fallen","caer",10
"fangen","coger, atrapar",11
"finden","encontrar",5
"flechten","trenzar",10
"fliegen","volar",10
"fliehen","huir",9
"fließen","fluir",11
"fressen","dar de comer a animales",10
"freuen auf","alegrarse de",1
"frieren","tener frío",9
"frühstücken","desayunar",1
"geben","dar",10
"gebären","dar a luz, parir",13
"gedeihen","florecer",10
"gehen","ir (andando)",8
"geld ausgeben für","gastar dinero para",1
"gelingen","tener exito",11
"gelten","ser válido",12
"genesen","convalecer",11
"genießen","disfrutar",11
"geraten","salir bien",11
"geschehen","suceder",10
"gewinnen","ganar",11
"gießen","regar",9
"gleichen","igualarse",11
"gleiten","resbalar",9
"graben","cavar",8
"greifen","coger",9
"grillen","asar",1
"gären","fermentar",10
"haben","tener, haber",10
"halten","mantener, parar",9
"hantieren mit","ocuparse de",1
"heben","elevar, levantar",6
"heißen","llamarse",7
"helfen bei","ayudar en",1
"helfen","ayudar",9
"hinzufügen zu","annadir, agregar",1
"hängen","estar colgado",8
"ignorieren","ignorar",1
"impfen","vacunar",1
"interessieren für","interesarse por",1
"kennen","conocer",8
"kleiden","vestir",1
"kleiden","vestirse",1
"klingen","sonar",11
"kneifen","pellizcar",11
"kochen","cocinar",1
"kommen aus","venir de",1
"kommen","venir",10
"kriechen","arrastrarse",15
"können","poder (capacidad)",9
"kümmern um","atender a, cuidar de",1
"laden","cargar",7
"lassen","dejar",7
"laufen","correr",1
"laufen","correr",9
"leiden","sufrir, padecer",11
"leihen","prestar",14
"lesen","leer",10
"liegen","estar tumbado",8
"lügen","mentir",8
"machen","hacer",1
"mahlen","moler",9
"meiden","evitar",13
"melken","ordeñar",13
"messen","medir",7
"multiplizieren mit","multiplicar por",1
"mögen","gustar",10
"müssen","deber (obligación)",9
"nachdenken über","reflexionar sobre",1
"nachfragen bei","consultar a",1
"nehmen","coger, tomar, apoderarse",9
"nennen","nombrar",7
"pfeifen","silbar",11
"preisen","alabar",11
"protestieren gegen","protestar contra",1
"protzen mit","hacer gala de",1
"quellen","manar, fluir, surgir, proceder",10
"raten","aconsejar",7
"rechnen mit","contar con",1
"reden mit","hablar con",1
"reden über","hablar sobre",1
"reiben","frotar",22
"reiten","cabalgar",11
"reißen","arrancar",12
"rennen","correr",10
"riechen","oler",11
"ringen","luchar",12
"rufen","llamar",9
"saufen","beber (animales)",10
"saugen","mamar, absorber",7
"schaffen","crear, trabajar",10
"scheiden","separar, partir",11
"scheinen","brillar",8
"scheißen","cagar",9
"schieben","empujar",11
"schießen","disparar",9
"schlafen","dormir",9
"schlagen","golpear",9
"schleifen","afilar",9
"schließen","cerrar",7
"schlingen","atar",11
"schmeißen","tirar",11
"schmelzen","fundirse, derretirse",11
"schneiden","cortar, partir",8
"schreiben","escribir",10
"schreien","gritar",11
"schweigen","callar",10
"schwellen","hincharse",12
"schwimmen","nadar",9
"schwinden","disminuir",11
"schwingen","agitar",10
"schwören","jurar",12
"sehen","ver",11
"sein","ser, estar",10
"senden","enviar",8
"singen","cantar",10
"sinken","hundir",7
"sinnen","meditar",10
"sitzen","estar sentado",10
"sollen","deber (una norma)",7
"sorgen für","ocuparse de",1
"speien","escupir",11
"spielen","jugar",1
"spinnen","hilar",8
"sprechen mit","hablar con",1
"sprechen","hablar",8
"sprießen","brotar",10
"springen","saltar",9
"stechen","picar, pinchar",11
"stehen","estar de pie",9
"stehlen","robar",11
"steigen","escalar, subir",9
"sterben","morir",10
"stinken","apestar",9
"stoßen","empujar",10
"streichen","pintar, tachar",11
"streiten","pelearse",9
"suchen","buscar",1
"teilen mit","compartir con",1
"teilen","partir, dividir",1
"tragen","llevar, vestir, sostener",9
"treffen mit","quedar con",1
"treffen","encontrarse",8
"treiben","practicar, accionar",7
"treten","pisar, ir",9
"trinken","beber",10
"tun","hacer",6
"umziehen nach","mudarse a",1
"umziehen","cambiarse (ropa)",1
"verderben","estropearse",9
"vergessen","olvidar",9
"verhalten","comportarse, portarse",2
"verlieben in","enamorarse de",1
"verlieren","perder",9
"vermuten","suponer, presumir, esperar",1
"vernetzen","unir, conectar",1
"verschwinden","desaparecer",9
"versunken in","abstraído en",1
"vertauschen für","cambiar por",1
"vertreiben aus","expulsar de",1
"verzeihen","perdonar",10
"wachsen","crecer",10
"wandeln","cambiar, convertir",1
"warten auf","esperar a",1
"waschen","lavar",8
"weben","tejer",12
"wecken","despetar",1
"weichen","ceder",13
"wenden","girar",8
"werden","llegar a ser, transformarse",9
"werfen","arrojar",9
"wiegen","pesar",10
"winden","torcer",10
"wissen","saber",9
"wollen","querer",10
"wringen","escurrir",11
"zerstreiten wegen","pelearse por",1
"zerteilen in","dividir en",1
"ziehen","tirar, arrastrar",11
"zielen auf","referirse a",1
"zurücktreten von","renunciar a",1
"zusammenhängen mit","estar relacionado con",1
"zuschießen auf","abalanzarse sobre",1
"zwingen","obligar",12
"abgespannt","cansado, fatigado, , ",1
"allein","solo, a solas, , ",1
"allgemein","general, universal, común",1
"alt","viejo",1
"anstrengend","cansador, agotador, duro",1
"anwesend","presente, asistente",1
"arm","pobre",1
"behindert","minusválido, discapacitado, impedido",1
"beliebt","estimado, apreciado",1
"berühmt","famoso, célebre",1
"besondere","especial, singular, particular",1
"bewusst","conciente, intencionado",1
"billig","barato",1
"bisschen","un poco",1
"bloß","descubierto, desnudo, puro, ",1
"breit","amplio, ancho",2
"dick","grueso, gordo",1
"direkt","directo, inmediato",1
"dreckig","sucio",2
"dunkel","oscuro",1
"durchschnittlich","medio, promedio",1
"edel","noble",1
"ehrlich","sincero",1
"eigen","propio",1
"einfach","simple, fácil",1
"einsam","solo, abandonado, aislado",1
"einzig","único, solo",1
"einzigartig","único, sin par",1
"erforderlich","necesario",1
"erschöpft","cansado, agotado, fatigado",1
"exakt","preciso, exacto",1
"fantastisch","fantástico",1
"faul","perezoso",1
"fern","lejos, de lejos",1
"folgend","siguiente",1
"frei","libre",1
"fremd","extraño, ajeno, extranjero",1
"fröhlich","alegre",1
"frühzeitig","temprano",1
"furchtbar","terrible, horrible",1
"ganz","todo, entero",1
"gefährlich","peligroso",1
"gegenwärtig","actual, presente",1
"genug","exacto, justo, exactamente",1
"gerade","derecho, recto",1
"gerecht","justo, merecido",1
"gesamt","todo, total",3
"gesetzlich","legal, legítimo",1
"gesund","sano, saludable",1
"gewiss","cierto, seguro",5
"gleich","igual, identico",1
"glücklich","feliz, afortunado",1
"grausam","cruel, brutal",1
"groß","grande",1
"gut","bueno",1
"heimisch","familiarizado, nacional",1
"heiter","alegre, divertido",1
"heiß","caliente",1
"hell","claro",1
"hoch","alto",1
"hässlich","feo",1
"häufig","frecuente",1
"höflich","cortés, amable",1
"hübsch","lindo",1
"innerhalb","dentro",1
"intelligent","inteligente",1
"interessant","interesante",1
"jung","joven",1
"kalt","frio",1
"klar","claro",1
"klein","pequeño",1
"klug","inteligente",1
"korrekt","correcto",1
"krank","enfermo",1
"kräftig","fuerte",1
"kurz","corto",1
"lang","largo",1
"langsam","lento",1
"laut","alto, fuerte",1
"lecker","rico",1
"leer","vacio",1
"leicht","liviano, fácil",1
"letzte","último, final",1
"lieb","querido",1
"link","fraudulento, engannoso",1
"möglich","posible",1
"müde","cansado",1
"mühelos","fácil",2
"nah","cerca",3
"neu","nuevo",1
"niedrig","bajo, humilde",1
"normal","normal",1
"notwendig","necesario, inevitable",1
"nötig","necesario, preciso",1
"nützlich","útil, provechoso",1
"perfekt","perfecto",1
"recht","exacto, verdadero, correcto",1
"reich","rico",1
"richtig","correcto, apropiado",1
"ruhig","tranquilo, quieto",1
"sauber","limpio, aseado",1
"schlecht","mal",1
"schmutzig","sucio",1
"schnell","rapido",1
"schrecklich","horrible, horroroso",2
"schwierig","difícil, complicado",1
"schön","bello, hermoso, bonito",1
"sehr","demasiado",1
"sehr","mucho",1
"selten","raro, curioso",1
"seltsam","extraño, singular",1
"sicher","seguro",1
"spät","tardío",1
"stark","fuerte",1
"still","tranquilo, silencioso, quieto",1
"stundenlang","de varias horas",1
"süß","dulce",1
"teuer","caro",1
"tief","profundo, hondo, bajo",1
"tot","muerto",1
"treffend","justo, adecuado",1
"ungefähr","casi, aproximadamente",1
"unglücklich","infeliz, triste",1
"unmöglich","imposible",1
"unterschiedlich","diferente, distinto",1
"verrückt","loco",1
"viel","demasiado, mucho",1
"vollkommen","perfecto",1
"wahrscheinlich","probable",1
"warm","caliente",1
"weit","extenso, ancho, lejano",1
"wenig","poco",1
"wichtig","importante",1
"ziemlich","bastante",1
"zufrieden","contento, satisfecho",1
"ab und zu","en ocasiones",10
"abends","por las tardes",10
"abwärts","hacia abajo",10
"allerdings","sin embargo",11
"am ehesten","lo más pronto",8
"am häufigsten","lo más frecuente",11
"am liebsten","lo más preferible",10
"am wohlsten","lo mejor",10
"ansonsten","por lo demás",11
"auch","también",11
"auch","también",10
"aufwärts","hacia arriba",10
"außen","fuera",10
"außerdem","además",11
"außerdem","además",11
"bald","pronto",10
"bald","pronto",11
"bergab","cuesta abajo",11
"bergauf","cuesta arriba",10
"da","ahí",11
"daher","por lo tanto",11
"daher","por lo tanto",13
"damals","entonces",11
"dann","luego",11
"darum","por ello",11
"darum","por eso",9
"deshalb","por ello",11
"deshalb","por eso",8
"deswegen","por eso",11
"deswegen","por lo tanto",11
"dienstags","los martes",11
"doch","pues",11
"donnerstags","los jueves",10
"dort","allí",10
"drittens","en tercer lugar",9
"ebenfalls","también",11
"eher","más pronto",10
"erstens","en primer lugar",10
"falls","caso que",11
"fast immer","casi siempre",9
"fast nie","casi nunca",10
"folglich","por lo tanto",11
"freitags","los viernes",10
"früher","antes",11
"gern","gustosamente",11
"gestern","ayer",11
"gleich","inmediatamente",11
"gleichfalls","igualmente",11
"heimwärts","hacia casa",11
"heute","hoy",9
"hier","aquí",10
"hingegen","por el contrario",11
"hinten","detrás",10
"häufig","frecuentemente",10
"immer","siempre",10
"innen","dentro",9
"jetzt","ahora",11
"jährlich","anualmente",10
"kaum","apenas",9
"lieber","preferiblemente",10
"links","a la izquierda",11
"manchmal","a veces",10
"meistens","la mayoría de las veces",11
"mittwochs","los miércoles",10
"monatlich","mensualmente",11
"montags","los lunes",10
"morgen","mañana",10
"morgens","por las mañanas",11
"nachmittags","después de comer",11
"nachts","por las noches",10
"nie","nunca",10
"nirgends","en ningún sitio",11
"nur","solamente",10
"nur","solo",11
"oben","arriba",11
"oft","frecuente",10
"oft","frecuentemente",11
"rechts","a la derecha",10
"rückwärts","hacia atrás",11
"samstags","los sábados",11
"sehr","muy",10
"selten","pocas veces",11
"so","así",11
"sofort","inmediatamente",10
"somit","así pues",11
"sonntags","los domingos",10
"sonst","si no",11
"später","más tarde",11
"trotzdem","no obstante",10
"täglich","diariamente",11
"unten","abajo",10
"vorgestern","antes de ayer",11
"vorn/vorne","delante",11
"vorwärts","hacia delante",11
"wann","cuándo",11
"warum","por qué",10
"wenigstens","al menos",10
"westwärts","hacia el oeste",11
"wie alt","cuántos años",11
"wie lange","cuánto tiempo",9
"wie oft","con qué frecuencia",9
"wie teuer","qué caro",10
"wie viel","cuánto",10
"wie weit","qué tan lejos",11
"wie","cómo",10
"wieso","cómo",10
"wo","dónde",10
"woher","de dónde",10
"wohin","hacia dónde",10
"wohl","bien",11
"wohler","mejor",11
"wöchentlich","semanalmente",10
"zudem","además",11
"zweitens","en segundo lugar",11
"öfter","más frecuente",11
"überall","en todas partes",10
"übermorgen","pasado mañana",11
