"singular","plural","gender","translation","mistakes"
"Kürbis","Kürbisse","m","zapallo",3
"Küste","Küsten","f","costa",1
"LKW","LKWs","m","camión",1
"Label","Label","n","etiqueta, identificación",1
"Lage","Lagen","f","sitio, posición, situación",1
"Lager","Lager","n","almacén, depósito",1
"Lamm","Lämmer","n","cordero",1
"Lampe","Lampen","f","lampara",1
"Land","Länder","n","país",1
"Landkreis","Landkreise","m","distrito administrativo",1
"Landschaft","Landschaften","f","paisaje",1
"Laser","Laser","m","láser",1
"Laterne","Laternen","f","linterna, farola",1
"Leben","Leben","n","vida",1
"Lebensmitte","-","f","mitad de la vida",1
"Lebensmittel","Lebensmittel","n","comestibles",1
"Legende","Legenden","f","leyenda, cuento",5
"Lehrer","Lehrer","m","maestro",1
"Lehrerin","Lehrerinnen","f","maestra",1
"Leiter","Leitern","f","escalera",1
"Leitung","Leitungen","f","conducción, línea, dirección",1
"Licht","Lichter","n","luz",1
"Lied","Lieder","n","canción",1
"Lieferung","Lieferungen","f","entrega, envio",1
"Loch","Löcher","n","agujero",1
"Losung","Losungen","f","lema, consigna",1
"Lotterie","Lotterien","f","loteria",1
"Luft","-","f","aire",1
"Luftwaffe","Luftwaffen","f","fuerza aérea",1
"Lust","-","f","ganas de algo",1
"Löffel","Löffel","m","cuchara",1
"Lösung","Lösungen","f","solución",1
"Löwe","Löwen","m","león",1
"Macht","Mächte","f","poder, potencia",1
"Mahnung","Mahnungen","f","amonestación, recordatorio, requerimiento",3
"Mai","Maie","m","mayo",1
"Mal","Male","n","vez",1
"Mann","Männer","m","hombre",1
"Mannschaft","Mannschaften","f","equipo deportivo, tripulación",10
"Mantel","Mäntel","m","abrigo",1
"Mappe","Mappen","f","carpeta",1
"Marine","Marinen","f","marina",1
"Maschine","Maschinen","f","máquina",1
"Maschinengewehr","Maschinengewehre","n","ametralladora",1
"Maske","Masken","f","mascara",1
"Maskulinum","Maskulina","n","género masculino",1
"Material","Materialien","n","material",1
"Mauer","Mauern","f","muro",1
"Maus","Mäuse","f","ratón",1
"Maßnahme","Maßnahmen","f","medida",1
"Mechanik","-","f","física - mecánica",1
"Medikament","Medikamente","n","medicamento, remedio",3
"Medizin","Medizinen","f","medicina, medicamento",1
"Meer","Meere","n","mar",2
"Meinung","Meinungen","f","significado, opinión, parecer",1
"Meister","Meister","m","maestro, experto",1
"Meisterin","Meisterinnen","f","maestra, experta",1
"Menge","Mengen","f","cantidad, monton",1
"Mensa","Mensen/Mensas","f","comedor universitario",1
"Mensch","Menschen","m","ser humano, hombre",1
"Messehalle","Messehallen","f","nave de la deria, pabellón",1
"Messer","Messer","n","cuchillo",1
"Miete","Mieten","f","alquiler",1
"Minute","Minuten","f","minuto",1
"Mischung","Mischungen","f","mezcla",1
"Mitarbeiter","Mitarbeiter","m","empleado",1
"Mitarbeiterin","Mitarbeiterinnen","f","empleada",1
"Mitglied","Mitglieder","n","miembro",1
"Mitleid","-","n","lástima, compasión",1
"Mittagessen","Mittagessen","n","almuerzo",1
"Mitteilung","Mitteilungen","f","aviso, comunicación, informe",1
"Mittel","Mittel","n","medio, remedio, recurso",1
"Mittwoch","Mittwoche","m","miercoles",1
"Modul","Moduln","m","módulo",8
"Mole","Molen","f","muelle",1
"Monat","Monate","m","mes",1
"Mond","Monde","m","luna",1
"Monitor","Monitoren","m","monitor, pantalla",1
"Montag","Montage","m","lunes",1
"Moskito","Moskitos","m","mosquito",1
"Motel","Motels","n","motel",1
"Motor","Motoren","m","motor",1
"Motto","Mottos","n","lema",1
"Mund","Münder","m","boca",1
"Museum","Museen","n","museo",1
"Musik","-","f","música",1
"Mutter","Mütter","f","madre",1
"Mädchen","Mädchen","n","niña",1
"Märchen","Märchen","n","cuento de hadas",1
"März","Märze","m","marzo",1
"Möglichkeit","Möglichkeiten","f","posibilidad, oportunidad",1
"Mörder","Mörder","m","asesino",1
"Mülleimer","Mülleimer","m","tacho de basura",1
"Münze","Münzen","f","moneda",2
"Nachbar","Nachbarn","m","vecino",1
"Nachbarin","Nachbarinnen","f","vecina",1
"Nachricht","Nachrichten","f","noticia",1
"Nacht","Nächte","f","noche",2
"Nachteil","Nachteile","m","desventaja, inconveniente",1
"Nachweis","Nachweise","m","prueba, comprobación, certificado",1
"Name","Namen","m","nombre",1
"Nase","Nasen","f","nariz",1
"Nazi","Nazis","m","nazi",1
"Nebenwirkung","Nebenwirkungen","f","efecto secundario",1
"Neffe","Neffen","m","sobrino",1
"Nerv","Nerven","m","nervio",3
"Netzwerk","Netzwerke","n","red",1
"Neugierde","-","f","curiosidad",5
"Neuigkeit","Neuigkeiten","f","novedad",1
"Neutrum","Neutra","n","género neutro",1
"Nichte","Nichten","f","sobrina",1
"Nichts","-","n","nada",1
"Niederlassung","-","f","establecimiento",1
"Niederschlag","Niederschläge","m","precipitación",3
"Nominativ","Nominative","m","nominativo",1
"Nord","-","m","norte",1
"Norden","-","m","norte",1
"Notfall","Notfälle","m","urgencia",1
"Notwendigkeit","-","f","necesidad",1
"November","November","m","noviembre",1
"Nudel","Nudeln","f","pasta, fideos",2
"Nummer","Nummern","f","número",1
"Nutte","Nutten","f","puta",1
"Ohr","Ohren","n","oreja",1
"Oktober","Oktober","m","octubre",1
"Olive","Oliven","f","aceituna",1
"Onkel","Onkel","m","tío",1
"Opel","Opels","m","opel",1
"Opfer","Opfer","n","víctima, ofrenda, sacrificio",1
"Orange","Orangen","f","naranja",1
"Orbit","Orbits","m","órbita",1
"Ordner","Ordner","m","archivador, carpeta",1
"Organisation","-","f","organización",1
"Ort","Orte","m","lugar",1
"Ost","-","m","este",1
"Osten","-","m","este",1
"Ozean","Ozeane","m","oceano",1
"Paket","Pakete","n","paquete",1
"Pandemie","Pandemien","f","pandemia",1
"Panne","Pannen","f","avería, contratiempo",1
"Panzer","Panzer","m","tanque",1
"Papier","Papiere","n","papel",1
"Park","Parks","m","parque",1
"Parkplatz","Parkplätze","m","estacionamiento",1
"Partner","Partner","m","compañero",1
"Partnerin","Partnerinnen","f","compañera",1
"Person","Personen","f","persona",1
"Pfanne","Pfannen","f","sarten",1
"Pfeil","Pfeile","m","flecha",1
"Pferd","Pferde","n","caballo",1
"Pflanze","Pflanzen","f","planta",1
"Phantasie","Phantasien","f","fantasía, imaginación",1
"Physik","-","f","física",1
"Piano","Pianos","n","piano",1
"Pilot","Piloten","m","piloto",2
"Pilsner","Pilsner","n","cerveza pilsen",1
"Pizza","Pizzas/Pizzen","f","piza",1
"Planet","Planeten","m","planeta",1
"Platz","Plätze","m","plaza",1
"Politik","Politiken","f","política",1
"Porsche","Porsches","m","porsche",1
"Post","-","f","correo",1
"Poster","Posters","mn","póster",1
"Postler","Postler","m","cartero",1
"Privatsphäre","Privatsphären","f","privacidad",1
"Problem","Probleme","n","problema",1
"Produkt","Produkte","n","producto",1
"Programm","Programme","n","programa",1
"Projekt","Projekte","n","proyecto",1
"Pronomen","Pronomen/Pronomina","n","pronombre",1
"Propeller","Propeller","m","hélice",1
"Prospekt","Prospekte","mn","folleto, prospecto",1
"Protokoll","Protokolle","n","protocolo, acta",1
"Prototyp","Prototypen","m","prototipo",4
"Prozess","Prozesse","m","proceso",2
"Präsens","Präsentia/Präsenzien","n","presente (tiempo verbal)",8
"Präsentation","Präsentationen","f","presentación",1
"Präteritum","Präterita","n","pretérito, pasado (tiempo verbal)",1
"Prüfung","Prüfungen","f","examen",1
"Publikation","Publikationen","f","publicación",1
"Publikum","-","n","público",1
"Pumpe","Pumpen","f","bomba",1
"Püree","Pürees","n","puré",2
"Quittung","Quittungen","f","recibo con validez jurídica",1
"Rabe","Raben","m","cuervo",6
"Rad","Räder","n","rueda",1
"Radarsicht","-","f","visibilidad radar",1
"Radiergummi","Radiergummis","mn","goma de borrar",9
"Radio","Radios","n","radio",1
"Rakete","Raketen","f","cohete",1
"Rand","Ränder","m","borde, periferia",2
"Rat","Räte","m","consejo",1
"Ratte","Ratten","f","rata",1
"Raum","Räume","m","habitación",1
"Raumschiff","Raumschiffe","n","nave espacial",1
"Realität","Realitäten","f","realidad",1
"Rechner","Rechner","m","calculadora",1
"Rechnung","Rechnungen","f","cuenta",1
"Recht","Rechte","n","derecho",1
"Regal","Regale","n","estante",1
"Regel","Regeln","f","regla, norma",1
"Regen","Regen","m","lluvia",1
"Regenbogen","Regenbogen","m","arcoíris",1
"Regenschirm","Regenschirme","m","paraguas",1
"Regierung","Regierungen","f","gobierno",1
"Reich","Reiche","n","reino, imperio",1
"Reichstag","-","m","parlamento alemán",1
"Reis","-","m","arroz",1
"Reise","Reisen","f","viaje",1
"Reiseziel","Reiseziele","n","punto de destino",1
"Rente","Renten","f","pensión",1
"Restaurant","Restaurants","n","restaurante",1
"Richtung","Richtungen","f","dirección",1
"Ring","Ringe","m","anillo",1
"Rippe","Rippen","f","costilla",1
"Risiko","Risikos/Risiken","n","riesgo",1
"Rubrik","Rubriken","f","categoría",1
"Rucksack","Rucksäcke","m","mochila",10
"Räderwerk","Räderwerke","n","engranaje",1
"S-Bahn","S-Bahnen","f","metro",1
"Sachbearbeiter","Sachbearbeiter","m","oficial encargado",1
"Sachbearbeiterin","Sachbearbeiterinnen","f","oficial encargada",1
"Sache","Sachen","f","cosa",1
"Sack","Säcke","m","saco (bolso)",9
"Saft","Säfte","m","jugo",2
"Salami","Salamis","f","salame",1
"Salat","Salate","m","ensalada",1
"Salon","Salons","m","salón",1
"Sammelbegriff","Sammelbegriffe","m","concepto genérico",1
"Sammlung","Sammlungen","f","recaudación, colección",2
"Samstag","Samstage","m","sabado",1
"Sand","-","m","arena",1
"Satellit","Satelliten","m","satélite",1
"Satz","Sätze","m","oración",1
"Scanner","Scanner","m","escáner",1
"Schaf","Schafe","n","oveja",1
"Schal","Schals/Schale","m","bufanda",8
"Schatten","Schatten","m","sombra",1
"Schatz","Schätze","m","tesoro",1
"Schauer","Schauer","m","aguacero, escalofrío",1
"Schaufenster","Schaufenster","n","vidriera",1
"Schein","Scheine","m","billete (dinero)",1
"Schicksal","Schicksale","n","destino, plan, suerte",1
"Schiff","Schiffe","n","barco",1
"Schildkröte","Schildkröten","f","tortuga",1
"Schimmel","-","m","moho",1
"Schimmel","Schimmel","m","caballo blanco",1
"Schinken","Schinken","m","jamón",1
"Schirm","Schirme","m","paraguas, sombrilla",1
"Schlacht","Schlachten","f","batalla",2
"Schlamm","Schlämme","m","lodo, barro",1
"Schleier","Schleier","m","velo, cortina",1
"Schloss","Schlösser","n","castillo",1
"Schlüssel","Schlüssel","m","llave",1
"Schmetterling","Schmetterlinge","m","mariposa",1
"Schmuck","-","m","joyas",1
"Schmutz","-","m","suciedad, inmendicia, basura",1
"Schnauze","Schnauzen","f","soplon, ser bocaza, hocico",1
"Schnelligkeit","-","f","velocidad, rapidez",1
"Schnitzel","Schnitzel","n","milanesa, escalope",1
"Schokolade","Schokoladen","f","chocolate",1
"Schonzeit","Schonzeiten","f","tiempo de veda",1
"Schornstein","Schornsteine","m","chimenea",1
"Schrank","Schränke","m","armario, ropero",1
"Schraube","Schrauben","f","tornillo",1
"Schraubenmutter","Schraubenmütter","f","tuerca",1
"Schraubenzieher","Schraubenzieher","m","desatornillador",1
"Schreibtisch","Schreibtische","m","escritorio",1
"Schrotflinte","Schrotflinten","f","escopeta",1
"Schrott","-","m","chatarra",1
"Schuh","Schuhe","m","zapato",1
"Schuhwerk","Schuhwerke","n","calzado",1
"Schulabschluss","Schulabschlüsse","m","título/diploma escolar",1
"Schuld","-","f","culpa",1
"Schuld","Schulden","f","deuda",1
"Schule","Schulen","f","escuela",1
"Schutz","-","m","protección, amparo",1
"Schwager","Schwäger","m","cuñado",1
"Schwein","Schweine","n","cerdo",1
"Schwerkraft","-","f","fuerza de gravedad",5
"Schwert","Schwerter","n","espada",1
"Schwester","Schwestern","f","hermana",1
"Schwiegermutter","Schwiegermütter","f","suegra",1
"Schwiegervater","Schwiegerväter","m","suegro",1
"Schwierigkeit","Schwierigkeiten","f","dificultad",1
"Schwägerin","Schwägerinnen","f","cuñada",1
"Schärfe","-","f","picante",2
"Schönheit","Schönheiten","f","belleza",1
"Schönsein","-","n","belleza",1
"Schüssel","Schüsseln","f","fuente",3
"See","Seen","m","mar",1
"Seele","Seelen","f","alma",1
"Seemann","Seemänner","m","marinero",1
"Segel","Segel","n","vela de barco",1
"Segelschiff","Segelschiffe","n","velero",1
"Sehnsucht","Sehnsüchte","f","ansia, nostalgia, ahhelo",1
"Seife","Seifen","f","jabón",1
"Seil","Seile","n","alambre, cuerda",1
"Seite","Seiten","f","página, lado, parte",1
"Sekunde","Sekunden","f","segundo",1
"Seminar","Seminare","n","seminario",2
"Sendung","Sendungen","f","envío, emisión, programa de tv o radio",1
"Sensor","Sensoren","m","sensor",1
"September","September","m","september",1
"Service","-","m","servicio, asistencia",3
"Sessel","Sessel","m","sillon",1
"Sicherheit","Sicherheiten","f","seguridad, garantía, certeza",1
"Sicherung","Sicherungen","f","protección, fusible, consolidación",1
"Sinn","Sinne","m","sentido",1
"Situation","Situationen","f","situación",1
"Sofa","Sofas","n","sofa",1
"Sohn","Söhne","m","hijo",1
"Sommer","Sommer","m","verano",1
"Sonne","Sonnen","f","sol",1
"Sonntag","Sonntage","m","domingo",1
"Spatz","Spatzen","m","gorrión",1
"Sperre","Sperren","f","barrera, bloqueo, suspensión",4
"Sphäre","Sphären","f","esfera",1
"Spiegel","Spiegel","m","espejo",1
"Spiel","Spiele","n","juego",1
"Spinne","Spinnen","f","araña",1
"Sport","-","m","deporte",1
"Sprache","Sprachen","f","idioma",1
"Spritze","Spritzen","f","jeringa, inyección",1
"Spülmittel","Spülmittel","n","detergente vajilla",1
"Staat","Staaten","m","estado, gobierno",1
"Stadt","Städte","f","ciudad",1
"Stadtrand","Stadtränder","m","afueras de la ciudad",1
"Start","Starts","m","comienzo",1
"Statue","Statuen","f","estatua",1
"Stau","Staus/Staue","m","atasco, embotellamiento",1
"Steak","Steaks","n","bife",1
"Steckdose","Steckdosen","f","tomacorriente",1
"Stecker","Stecker","m","enchufe, conector",1
"Stein","Steine","m","piedra",1
"Stelle","Stellen","f","lugar",1
"Stern","Sterne","m","estrella",1
"Steuer","Steuer","n","impuesto",1
"Steuerfrau","Steuerfrauen","f","timonel",2
"Steuermann","Steuermänner","m","timonel",1
"Steuersatz","Steuersätze","m","taze de impuesto",1
"Stiefel","Stiefel","m","bota",4
"Stier","Stiere","m","toro",1
"Stimme","Stimmen","f","voz",1
"Stoff","-","m","material",1
"Straftat","Straftaten","f","delito",2
"Strand","Strände","m","playa",1
"Straße","Straßen","f","calle",1
"Strom","Ströme","m","corriente",1
"Student","Studenten","m","estudiante",1
"Studentin","Studentinnen","f","estudiante",1
"Stuhl","Stühle","m","silla",1
"Stunde","Stunden","f","hora",1
"Sturm","Stürme","m","tormenta, teporal",1
"Stück","Stücke","n","pieza, trozo, pedazo",5
"Substantiv","Substantive","n","sustantivo",1
"Suche","Suchen","f","búsqueda",1
"Supermarkt","Supermärkte","m","supermercado",1
"Sympathie","Sympathien","f","simpatía",1
"Synonym","Synonyme","n","sinónimo",3
"Süd","-","m","sur",1
"Süden","-","m","sur",1
"T-Shirt","T-Shirts","n","camiseta",1
"Tag","Tage","m","día",1
"Taille","Taillen","f","cintura",1
"Tante","Tanten","f","tía",1
"Tasche","Taschen","f","bolsillo",1
"Taschentuch","Taschentücher","n","pañuelo de bolsillo",1
"Tasse","Taseen","f","taza",1
"Taste","Tasten","f","tecla",1
"Tastsinn","-","m","sentido del tacto",1
"Tat","Taten","f","hecho, acción, acto",1
"Taube","Tauben","f","paloma",1
"Team","Teams","n","equipo",2
"Tee","Tees","m","té, infusión",1
"Teil","Teile","mn","pieza, parte",2
"Teilnahme","-","f","participación",1
"Teilnehmer","Teilnehmer","m","participante",1
"Teilnehmerin","Teilnehmerinnen","f","participante",1
"Telefon","Telefone","n","teléfono",1
"Teller","Teller","m","plato",1
"Temperatur","Temperaturen","f","temperatura",1
"Tempo","Tempos","n","velocidad, tiempo, ritmo",1
"Teppich","Teppiche","m","alfombra",1
"Termin","Termine","m","fecha",1
"Test","Tests/Teste","m","prueba",1
"Teufel","Teufel","m","diablo",1
"Theater","Theater","n","teatro",1
"Thema","Themen","n","tema, asunto",1
"Theorie","Theorien","f","teoría",3
"Thermometer","Thermometer","n","termómetro",1
"These","Thesen","f","tesis",2
"Tiefe","Tiefen","f","profundidad, intensidad",1
"Tipp","Tipps","m","consejo, recomendación",1
"Tisch","Tische","m","mesa",1
"Titel","Titel","m","título",1
"Tochter","Töchter","f","hija",2
"Tod","Tode","m","muerte, fallecimiento, defunción",1
"Toilette","Toiletten","f","baño",1
"Tomate","Tomaten","f","tomate",1
"Topf","Töpfe","m","olla",1
"Topfblume","Topfblumen","f","planta de maceta",1
"Tote","Toten","mf","muerto/a",1
"Training","Trainings","n","entrenamiento",1
"Transformator","Transformatoren","m","transformador",1
"Traube","Trauben","f","uva",1
"Traum","Träume","m","sueño de soñar",1
"Treffen","Treffen","n","encuentro",1
"Treppe","Treppen","f","escalera",1
"Triebwerk","Triebwerke","n","motor, máquina",1
"Tritt","Tritte","m","paso, puntapié, patada",1
"Träne","Tränen","f","lágrima",2
"Tuch","Tücher","n","pañuelo, trapo, capote",1
"Turm","Türme","m","torre",1
"Tätigkeit","Tätigkeiten","f","actividad, trabajo",1
"Tüftler","Tüftler","m","persona habilidosa",1
"Tür","Türen","f","puerta",1
"Tüte","Tüten","f","bolsa",1
"U-Bahn","U-Bahnen","f","metro",1
"Uhr","Uhren","f","reloj",1
"Uhrzeigersinn","-","m","sentido horario",1
"Umfrage","Umfragen","f","encuesta",1
"Umstand","Umstände","m","hecho, circunstancia",1
"Umwelt","-","f","entorno, medio ambiente",1
"Umzug","Umzüge","m","mudanza, desfile",1
"Unfall","Unfälle","m","accidente",1
"Unglück","Unglücke","n","desgracia, accidente, catástrofe, miseria, mala suerte",1
"Universität","Universitäten","f","universidad",1
"Unrecht","-","n","injusticia",1
"Unsicherheit","Unsicherheiten","f","inseguridad",1
"Unterlage","Unterlagen","f","documentos",1
"Unterlegscheibe","Unterlegscheiben","f","arandela",1
"Unterricht","Unterrichte","m","clase, lección",1
"Unterschied","Unterschiede","m","diferencia",1
"Unterschrift","Unterschriften","f","firma (escrita)",4
"Unwetter","Unwetter","n","temporal, tormenta",1
"Unwissenheit","-","f","ignorancia",1
"Urlaub","Urlaube","m","vacaciones",1
"Vampir","Vampire","m","vampiro",2
"Variante","Varianten","f","variante",1
"Vase","Vasen","f","jarrón, florero",1
"Vater","Väter","m","padre",1
"Vatikan","-","m","vaticano",1
"Vene","Venen","f","vena",1
"Ventilator","Ventilatoren","m","ventilador",1
"Verb","Verben","n","verbo",1
"Verbrennung","Verbrennungen","f","combustión, quema, quemadura",1
"Vergangenheit","-","f","pasado, pretérito",1
"Vergleich","Vergleiche","m","comparación",1
"Verhalten","-","n","comportamiento, conducta",4
"Verkauf","Verkäufe","m","venta",1
"Verletzte","Verletzten","mf","herido/a",1
"Verlust","Verluste","m","pérdida, daño",1
"Vermögen","Vermögen","n","bienes, fortuna, patrimonio, capital, capacidad",7
"Versicherung","Versicherungen","f","seguro",1
"Versprechen","Versprechen","n","promesa",1
"Verstärkung","Verstärkungen","f","refuerzo",1
"Vertrag","Verträge","m","contrato",1
"Verwaltung","Verwaltungen","f","administración",1
"Verwandte","Verwandten","mf","pariente",1
"Virus","Viren","n","virus",1
"Visum","Visa/Visen","n","visa",1
"Vogel","Vögel","m","pájaro",1
"Vokabular","Vokabulare","n","vocabulario",13
"Vokal","Vokale","m","vocal",4
"Volk","Völker","n","pueblo",1
"Vordergrund","Vordergründe","m","primer plano, prioridad",1
"Vorfeld","Vorfelder","n","preludio",5
"Vorgesetzte","Vorgesetzten","mf","superior jerárquico",2
"Vorschlag","Vorschläge","m","propuesta",1
"Vorschulkind","Vorschulkinder","n","niño preescolar",1
"Vorsorgeuntersuchung","Vorsorgeuntersuchungen","f","chequeo preventivo",1
"Vorstellungsgespräch","Vorstellungsgespräche","n","entrevista de trabajo",1
"Vorteil","Vorteile","m","ventaja",1
"Vulkan","Vulkane","m","volcán",1
"Waffe","Waffen","f","arma",1
"Wagen","Wagen","m","coche",1
"Wahl","Wahlen","f","elección, opción",2
"Wahlkreis","Wahlkreise","m","distrito electoral",1
"Wahrheit","Wahrheiten","f","verdad",1
"Wahrscheinlichkeit","Wahrscheinlichkeiten","f","probabilidad",1
"Wal","Wale","m","ballena",1
"Wald","Wälder","m","bosque",1
"Wand","Wände","f","pared",1
"Wandel","-","m","cambio, transformación",1
"Warnung","Warnungen","f","aviso, advertencia, alerta",1
"Waschbecken","Waschbecken","n","lavamanos",1
"Waschmittel","Waschmittel","n","detergente ropa",1
"Wasser","Wasser","n","agua",1
"Wasserfall","Wasserfälle","m","cascada, catarata",1
"Wasserklosett","Wasserklosetts/Wasserklosette","n","inodoro",1
"Weg","Wege","m","camino",2
"Wehr","Wehre","n","dique, presa",2
"Wehr","Wehren","f","defensa",3
"Wehrmacht","-","f","ejercito aleman 1921 -1945",1
"Weihnachten","Weihnachten","n","navidad",1
"Weihnachtsbaum","Weihnachtsbäume","m","árbol de navidad",1
"Weihnachtslied","Weihnachtslieder","n","canción de Navidad",1
"Weihnachtsmann","Weihnachtsmänner","m","papá noel",1
"Wein","Weine","m","vino",1
"Weizen","Weizen","m","trigo",2
"Weizenbier","Weizenbiere","n","cerveza de trigo",1
"Welle","Wellen","f","ola, onda",1
"Welt","Welten","f","mundo",1
"Werk","Werke","n","mecanismo, obra, fábrica, taller",1
"Werkstatt","Werkstätten","f","taller",1
"Werkzeug","Werkzeuge","n","herramienta",1
"Wert","Werte","m","valor, precio",1
"West","-","m","oeste",1
"Weste","Westen","f","chaleco",2
"Westen","-","m","oeste",1
"Wetter","-","n","tiempo (clima)",1
"Wettkampf","Wettkämpfe","m","competición",1
"Wind","Winde","m","viento",1
"Winter","Winter","m","invierno",1
"Wirtschaft","Wirtschaften","f","economia",1
"Wissenschaft","Wissenschaften","f","ciencia",1
"Wissenschaftler","Wissenschaftler","m","científico",1
"Wissenschaftlerin","Wissenschaftlerinnen","f","científica",1
"Woche","Wochen","f","semana",1
"Wochenende","Wochenenden","n","fin de semana",3
"Wodka","Wodkas","m","vodka",1
"Wohnort","Wohnorte","m","domicilio",1
"Wohnsitz","Wohnsitze","m","domicilio",1
"Wohnung","Wohnungen","f","vivienda",1
"Wohnzimmer","Wohnzimmer","n","cuarto de estar",1
"Wolf","Wölfe","m","lobo",1
"Wolke","Wolken","f","nube",1
"Wort","Worte/Wörter","n","palabra",1
"Wortschatz","Wortschätze","m","léxico, vocabulario",12
"Wunde","Wunden","f","herida",1
"Wunder","Wunder","n","maravilla, milagro",2
"Wunsch","Wünsche","m","deseo",1
"Wurm","Würmer","m","gusano",1
"Wurst","Würste","f","embutido, salchicha",1
"Wut","-","f","rabia, ira, furor",10
"Währung","Währungen","f","moneda de un país, divisa",1
"Wärme","-","f","calor",1
"Wörterbuch","Wörterbücher","n","diccionario",1
"Würfel","Würfel","m","cubo, dado",1
"Wüste","Wüsten","f","desierto",1
"Zahl","Zahlen","f","número, cantidad, cifra",1
"Zahn","Zähne","m","diente",1
"Zahnrad","Zahnräder","n","engranaje",1
"Zange","Zangen","f","pinza",1
"Zecke","Zecken","f","garrapata",1
"Zeit","Zeiten","f","tiempo",1
"Zeitschrift","Zeitschriften","f","revista",1
"Zeitverschiebung","Zeitverschiebungen","f","diferencia horaria",1
"Zerstörer","Zerstörer","m","destructor",1
"Zerstörerin","Zerstörerinnen","f","destructora",1
"Zertifikat","Zertifikate","n","certificado",1
"Zeug","-","n","cosa",1
"Ziel","Ziele","n","destino de un viaje, meta, fin, objetivo",1
"Zimmer","Zimmer","n","habitación",1
"Zirkel","Zirkel","m","compás",4
"Zitat","Zitate","n","cita",1
"Zoll","Zölle","m","aduana",1
"Zoo","Zoos","m","zoológico",1
"Zucker","Zucker","m","azucar",1
"Zug","Züge","m","tren",1
"Zugvogel","Zugvögel","m","ave migratoria",1
"Zukunft","-","f","futuro, porvenir",1
"Zusammenfassung","Zusammenfassungen","f","resumen",3
"Zusammenstoß","Zusammenstöße","m","colisión, choque, altercado, disputa",1
"Zustand","Zustände","m","estado, situación",1
"Zwerg","Zwerge","m","enano",1
"Zwiebel","Zwiebeln","f","cebolla",5
"Ärztin","Ärztinnen","f","médica",1
"Ökonomie","Ökonomien","f","economia",1
"Öl","Öle","n","aceite",1
"Überbau","Überbaue/Überbauten","m","superstructura, voladizo",1
"Übergang","Übergänge","m","paso, traspaso, transición",1
"Überraschung","Überraschungen","f","sorpresa",3
"Überschrift","Überschriften","f","título, encabezado",1
"Übersetzung","Übersetzungen","f","traducción",1
"Übung","Übungen","f","práctica, ejercicio",1
